Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Stanislav OMELCHENKO POSITION,Stanislav OMELCHENKO LAP TIME,Stanislav OMELCHENKO ELAPSED TIME
4,12.84,12.84,3,12.71,12.71,1,12.61,12.61,2,12.65,12.65,5,13.04,13.04
4,9.58,22.42,3,9.60,22.31,1,9.57,22.18,1,9.53,22.18,5,9.56,22.60
3,9.40,31.82,4,9.70,32.01,1,9.53,31.71,2,9.63,31.81,5,9.57,32.17
1,9.13,40.95,4,9.36,41.37,2,9.39,41.10,3,9.42,41.23,5,9.46,41.63
2,9.19,50.14,4,9.06,50.43,1,8.98,50.08,3,9.05,50.28,5,9.54,51.17
2,9.08,59.22,3,8.91,59.34,1,9.06,59.14,4,9.17,59.45,5,9.78,1:00.95
2,9.03,1:08.25,3,8.99,1:08.33,1,9.02,1:08.16,4,9.02,1:08.47,5,10.13,1:11.08
2,8.93,1:17.18,3,8.99,1:17.32,1,8.92,1:17.08,4,9.05,1:17.52,5,10.41,1:21.49
2,8.95,1:26.13,3,8.93,1:26.25,1,8.99,1:26.07,4,9.20,1:26.72,5,10.68,1:32.17
