DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,13.71,13.71,3,13.81,13.81,1,13.64,13.64,4,13.94,13.94
3,10.31,24.02,2,10.07,23.88,1,10.17,23.81,4,10.20,24.14
2,9.36,33.38,3,9.58,33.46,1,9.49,33.30,4,9.57,33.71
2,9.12,42.50,3,9.12,42.58,1,9.14,42.44,4,9.05,42.76
3,9.18,51.68,2,9.03,51.61,1,9.06,51.50,4,9.08,51.84
3,9.02,1:00.70,2,9.00,1:00.61,1,9.02,1:00.52,4,9.01,1:00.85
3,8.89,1:09.59,2,8.89,1:09.50,1,8.90,1:09.42,4,8.84,1:09.69
3,8.78,1:18.37,2,8.81,1:18.31,1,8.80,1:18.22,4,8.76,1:18.45
4,9.09,1:27.46,2,8.98,1:27.29,1,8.96,1:27.18,3,8.95,1:27.40
