Joshua KAH POSITION,Joshua KAH LAP TIME,Joshua KAH ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME
2,9.51,9.51,6,9.98,9.98,1,9.38,9.38,7,10.15,10.15,3,9.64,9.64,4,9.79,,5,9.82,9.82
2,13.11,22.62,5,13.13,23.11,1,13.09,22.47,7,13.26,23.41,3,13.13,22.77,4,13.13,,6,13.45,23.27
2,12.58,35.20,6,12.58,35.69,1,12.54,35.01,7,12.35,35.76,3,12.59,35.36,4,12.62,,5,12.35,35.62
2,11.95,47.15,6,11.97,47.66,1,11.99,47.00,7,12.04,47.80,3,11.81,47.17,4,11.80,,5,11.88,47.50
6,11.24,58.39,5,10.66,58.32,1,11.00,58.00,7,10.70,58.50,2,10.93,58.10,3,10.87,,3,10.71,58.21
6,10.29,1:08.68,5,10.14,1:08.46,1,10.15,1:08.15,7,10.38,1:08.88,2,10.15,1:08.25,4,10.14,,3,10.10,1:08.31
5,9.96,1:18.64,6,10.27,1:18.73,1,10.06,1:18.21,7,9.99,1:18.87,2,9.97,1:18.22,3,10.01,,4,10.18,1:18.49
5,9.63,1:28.27,6,9.55,1:28.28,2,9.61,1:27.82,7,9.61,1:28.48,1,9.47,1:27.69,3,9.60,,4,9.58,1:28.07
6,9.66,1:37.93,5,9.53,1:37.81,2,9.66,1:37.48,7,9.55,1:38.03,1,9.69,1:37.38,3,9.62,,4,9.64,1:37.71
6,9.70,1:47.63,5,9.67,1:47.48,2,9.67,1:47.15,7,9.77,1:47.80,1,9.68,1:47.06,3,9.68,,4,9.66,1:47.37
6,9.73,1:57.36,5,9.68,1:57.16,2,9.80,1:56.95,7,9.78,1:57.58,1,9.82,1:56.88,3,9.73,,4,9.77,1:57.14
6,9.85,2:07.21,5,9.82,2:06.98,2,9.62,2:06.57,7,10.28,2:07.86,1,9.57,2:06.45,3,9.75,,4,9.81,2:06.95
6,10.11,2:17.32,4,9.56,2:16.54,2,9.39,2:15.96,7,10.80,2:18.66,1,9.50,2:15.95,3,9.33,,5,9.86,2:16.81
4,10.74,2:28.06,2,9.47,2:26.01,1,9.58,2:25.54,5,11.38,2:30.04,6,22.86,2:38.81,7,24.03,,3,10.11,2:26.92
