Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Alvaro PENA POSITION,Alvaro PENA LAP TIME,Alvaro PENA ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME
1,9.23,9.23,4,9.78,9.78,3,9.62,9.62,2,9.40,9.40,5,9.96,9.96
1,13.46,22.69,5,13.35,23.13,2,13.20,22.82,3,13.56,22.96,4,13.10,23.06
1,11.52,34.21,5,11.63,34.76,2,11.49,34.31,3,11.50,34.46,4,11.59,34.65
1,11.41,45.62,5,11.48,46.24,2,11.52,45.83,3,11.50,45.96,4,11.46,46.11
1,11.10,56.72,5,10.99,57.23,2,11.08,56.91,3,11.04,57.00,4,11.00,57.11
1,10.61,1:07.33,5,10.65,1:07.88,2,10.57,1:07.48,3,10.60,1:07.60,4,10.65,1:07.76
1,10.07,1:17.40,5,10.00,1:17.88,2,10.05,1:17.53,3,10.03,1:17.63,4,10.03,1:17.79
1,9.48,1:26.88,5,9.48,1:27.36,2,9.44,1:26.97,3,9.45,1:27.08,4,9.42,1:27.21
1,9.52,1:36.40,5,9.45,1:36.81,2,9.43,1:36.40,4,9.58,1:36.66,3,9.35,1:36.56
3,9.62,1:46.02,5,9.60,1:46.41,1,9.22,1:45.62,4,9.44,1:46.10,2,9.27,1:45.83
3,9.72,1:55.74,5,9.89,1:56.30,1,9.45,1:55.07,4,9.71,1:55.81,2,9.35,1:55.18
4,9.85,2:05.59,5,10.26,2:06.56,1,9.38,2:04.45,3,9.57,2:05.38,2,9.35,2:04.53
4,9.89,2:15.48,5,10.71,2:17.27,1,9.42,2:13.87,3,9.91,2:15.29,2,9.34,2:13.87
4,9.90,2:25.374,5,11.11,2:28.379,2,9.59,2:23.455,3,9.97,2:25.251,1,9.46,2:23.329
