Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Rosalie HUISMAN POSITION,Rosalie HUISMAN LAP TIME,Rosalie HUISMAN ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
1,8.34,8.34,2,8.49,8.49,3,8.65,8.65,5,8.90,8.90,4,8.77,8.77,6,9.13,9.13
1,11.29,19.63,2,11.22,19.71,3,11.14,19.79,5,11.10,20.00,4,11.13,19.90,6,10.99,20.12
2,10.91,30.54,3,10.93,30.64,5,10.96,30.75,1,10.43,30.43,4,10.84,30.74,6,10.70,30.82
2,10.35,40.89,3,10.33,40.97,4,10.22,40.97,1,10.35,40.78,5,10.32,41.06,6,10.29,41.11
4,10.43,51.32,5,10.43,51.40,1,10.20,51.17,3,10.46,51.24,6,10.46,51.52,2,10.10,51.21
5,10.21,1:01.53,6,10.26,1:01.66,3,10.19,1:01.36,2,10.07,1:01.31,4,9.97,1:01.49,1,10.04,1:01.25
5,10.57,1:12.10,6,10.55,1:12.21,4,10.68,1:12.04,1,10.34,1:11.65,3,10.48,1:11.97,2,10.41,1:11.66
6,10.32,1:22.42,5,10.19,1:22.40,4,10.25,1:22.29,1,10.34,1:21.99,3,10.20,1:22.17,2,10.41,1:22.07
6,10.54,1:32.96,4,10.36,1:32.76,5,10.57,1:32.86,1,10.52,1:32.51,3,10.51,1:32.68,2,10.50,1:32.57
5,10.24,1:43.20,4,10.30,1:43.06,6,10.50,1:43.36,2,10.35,1:42.86,3,10.27,1:42.95,1,10.18,1:42.75
5,10.04,1:53.24,4,10.07,1:53.13,6,10.74,1:54.10,1,9.99,1:52.85,3,10.05,1:53.00,2,10.16,1:52.91
4,10.09,2:03.33,5,10.20,2:03.33,6,11.20,2:05.30,1,10.06,2:02.91,2,10.01,2:03.01,3,10.35,2:03.26
3,9.84,2:13.17,4,9.98,2:13.31,6,11.82,2:17.12,1,10.09,2:13.00,2,10.01,2:13.02,5,10.57,2:13.83
1,9.94,2:23.101,3,9.95,2:23.260,6,12.49,2:29.601,4,10.29,2:23.286,2,10.11,2:23.122,5,11.09,2:24.916
