Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,JUNG Ba-Ra POSITION,JUNG Ba-Ra LAP TIME,JUNG Ba-Ra ELAPSED TIME
2,7.50,7.50,1,7.17,7.17,3,7.54,7.54,4,7.86,7.86
2,9.51,17.01,1,9.79,16.96,3,9.56,17.10,4,9.68,17.54
2,9.27,26.28,1,9.19,26.15,3,9.23,26.33,4,8.92,26.47
2,9.40,35.69,1,9.30,35.46,3,9.41,35.74,4,9.31,35.78
3,9.86,45.546,1,9.89,45.350,4,9.98,45.712,2,9.72,45.496
