IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,DEWAGTERE Adriaan POSITION,DEWAGTERE Adriaan LAP TIME,DEWAGTERE Adriaan ELAPSED TIME,Marco Fritz SCHUMANN POSITION,Marco Fritz SCHUMANN LAP TIME,Marco Fritz SCHUMANN ELAPSED TIME
2,13.97,13.97,4,14.22,14.22,3,14.12,14.12,1,13.90,13.90
2,10.45,24.42,3,10.31,24.53,4,10.51,24.63,1,10.42,24.32
3,10.29,34.71,2,10.17,34.70,4,10.23,34.86,1,10.27,34.59
3,10.00,44.71,1,9.81,44.51,4,9.97,44.83,2,10.04,44.63
1,9.39,54.10,2,9.63,54.14,4,9.65,54.48,3,9.64,54.27
1,8.96,1:03.06,2,9.08,1:03.22,4,9.96,1:04.44,3,9.16,1:03.43
2,9.22,1:12.28,1,9.04,1:12.26,4,10.52,1:14.96,3,9.16,1:12.59
2,9.51,1:21.79,1,9.40,1:21.66,4,11.06,1:26.02,3,9.39,1:21.98
2,9.54,1:31.33,1,9.55,1:31.21,4,11.11,1:37.13,3,9.43,1:31.41
