WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,14.00,14.00,1,13.72,13.72,2,13.89,13.89,4,14.21,14.21
3,10.86,24.86,1,10.91,24.63,2,10.90,24.79,4,10.83,25.04
3,10.91,35.77,1,10.87,35.50,2,10.86,35.65,4,10.73,35.77
4,9.95,45.72,1,9.90,45.40,2,9.86,45.51,3,9.87,45.64
4,9.99,55.71,1,9.97,55.37,2,9.98,55.49,3,9.94,55.58
4,10.08,1:05.79,1,10.12,1:05.49,2,10.02,1:05.51,3,10.09,1:05.67
4,9.63,1:15.42,3,9.65,1:15.14,1,9.33,1:14.84,2,9.32,1:14.99
4,9.50,1:24.92,3,9.27,1:24.41,1,9.33,1:24.17,2,9.27,1:24.26
4,9.63,1:34.550,3,9.28,1:33.690,1,9.38,1:33.543,2,9.35,1:33.602
