SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
5,9.79,9.79,4,9.55,9.55,2,9.41,9.41,1,9.23,9.23,3,9.54,9.54,6,9.87,9.87,7,9.90,9.90
6,12.61,22.40,5,12.75,22.30,4,12.79,22.20,3,12.87,22.10,1,12.48,22.02,7,12.67,22.54,1,12.12,22.02
5,11.59,33.99,6,11.77,34.07,4,11.68,33.88,1,11.52,33.62,3,11.70,33.72,7,11.66,34.20,1,11.60,33.62
1,10.53,44.52,6,10.93,45.00,5,11.09,44.97,4,11.20,44.82,2,10.99,44.71,7,10.89,45.09,3,11.17,44.79
2,10.67,55.19,1,10.03,55.03,6,10.64,55.61,7,10.84,55.66,3,10.58,55.29,5,10.44,55.53,4,10.63,55.42
2,9.73,1:04.92,5,10.10,1:05.13,1,9.27,1:04.88,7,9.75,1:05.41,3,9.64,1:04.93,5,9.60,1:05.13,4,9.64,1:05.06
3,9.59,1:14.51,6,9.70,1:14.83,1,9.41,1:14.29,7,9.54,1:14.95,2,9.48,1:14.41,5,9.61,1:14.74,4,9.57,1:14.63
3,9.67,1:24.18,7,9.61,1:24.44,1,9.68,1:23.97,5,9.34,1:24.29,2,9.68,1:24.09,6,9.61,1:24.35,4,9.63,1:24.26
4,9.50,1:33.68,7,9.53,1:33.97,2,9.54,1:33.51,1,9.12,1:33.41,3,9.50,1:33.59,6,9.52,1:33.87,5,9.51,1:33.77
4,9.32,1:43.00,7,9.28,1:43.25,2,9.39,1:42.90,1,9.41,1:42.82,3,9.34,1:42.93,5,9.15,1:43.02,6,9.27,1:43.04
7,9.24,1:52.24,6,8.87,1:52.12,1,8.95,1:51.85,3,9.05,1:51.87,2,8.93,1:51.86,4,8.97,1:51.99,5,8.96,1:52.00
7,9.01,2:01.25,5,8.98,2:01.10,1,8.86,2:00.71,6,9.27,2:01.14,2,8.95,2:00.81,4,9.01,2:01.00,3,8.94,2:00.94
6,8.90,2:10.15,5,9.01,2:10.11,1,8.90,2:09.61,7,9.58,2:10.72,2,8.89,2:09.70,4,8.97,2:09.97,3,8.90,2:09.84
5,8.81,2:18.96,6,8.90,2:19.016,1,8.87,2:18.48,7,10.41,2:21.138,2,8.86,2:18.56,4,8.82,2:18.79,3,8.81,2:18.65
