Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
2,13.05,13.05,1,12.98,12.98,3,13.22,13.22,4,13.33,13.33
1,10.09,23.14,2,10.20,23.18,3,9.98,23.20,4,10.08,23.41
1,10.02,33.16,3,10.20,33.38,2,10.07,33.27,4,10.08,33.49
1,9.29,42.45,3,9.28,42.66,2,9.19,42.46,4,9.30,42.79
2,9.50,51.95,3,9.41,52.07,1,9.45,51.91,4,9.30,52.09
1,8.91,1:00.86,4,9.94,1:02.01,2,9.10,1:01.01,3,9.46,1:01.55
1,9.25,1:10.11,4,9.79,1:11.80,2,9.21,1:10.22,3,9.67,1:11.22
1,9.27,1:19.38,4,9.64,1:21.44,2,9.32,1:19.54,3,9.58,1:20.80
1,9.37,1:28.743,3,9.63,1:31.061,2,9.24,1:28.771,0,,PEN
