Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Simon FRANCIS POSITION,Simon FRANCIS LAP TIME,Simon FRANCIS ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
3,15.37,15.37,1,15.07,15.07,4,15.47,15.47,2,15.26,15.26
2,11.54,26.91,1,11.72,26.79,4,11.67,27.14,3,11.68,26.94
1,10.47,37.38,2,10.66,37.45,4,10.50,37.64,3,10.61,37.55
2,10.37,47.75,1,10.26,47.71,4,10.37,48.01,3,10.35,47.90
3,10.04,57.79,1,9.89,57.60,4,9.88,57.89,2,9.81,57.71
3,9.76,1:07.55,1,9.77,1:07.37,4,9.75,1:07.64,2,9.75,1:07.46
3,9.41,1:16.96,2,9.38,1:16.75,4,9.47,1:17.11,1,9.28,1:16.74
3,9.20,1:26.16,2,9.00,1:25.75,4,9.24,1:26.35,1,8.99,1:25.73
2,9.40,1:35.557,0,,DNF,3,9.64,1:35.985,1,9.11,1:34.835
