Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,12.762,12.762,3,13.158,13.158,4,13.178,13.178,2,12.874,12.874
1,10.128,22.890,4,9.998,23.157,3,9.976,23.153,2,10.033,22.907
1,9.961,32.852,3,9.925,33.082,4,10.121,33.274,2,10.040,32.946
2,10.014,42.866,4,10.076,43.158,3,9.807,43.081,1,9.916,42.863
2,9.807,52.672,3,9.728,52.886,4,9.841,52.923,1,9.700,52.562
2,9.338,1:02.010,3,9.428,1:02.313,4,9.469,1:02.392,1,9.406,1:01.968
2,9.205,1:11.215,3,9.059,1:11.372,4,9.144,1:11.536,1,9.212,1:11.180
3,9.628,1:20.843,4,9.640,1:21.013,1,9.233,1:20.769,2,9.606,1:20.786
2,9.998,1:30.841,4,9.963,1:30.976,1,9.883,1:30.652,3,10.181,1:30.967
