Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME
4,13.54,13.54,1,13.41,13.41,3,13.48,13.48,2,13.43,13.43
4,10.53,24.07,1,10.45,23.86,3,10.50,23.98,2,10.48,23.91
1,9.89,33.96,2,10.22,34.08,3,10.25,34.23,4,10.43,34.34
3,9.98,43.94,1,9.65,43.73,2,9.59,43.82,4,9.62,43.96
3,9.47,53.41,1,9.52,53.25,2,9.51,53.33,4,9.60,53.56
3,9.45,1:02.86,1,9.41,1:02.66,2,9.42,1:02.75,4,9.39,1:02.95
3,9.36,1:12.22,1,9.32,1:11.98,2,9.31,1:12.06,4,9.35,1:12.30
3,9.34,1:21.56,1,9.21,1:21.19,2,9.21,1:21.27,4,9.38,1:21.68
3,9.53,1:31.082,1,9.28,1:30.470,2,9.44,1:30.702,4,9.51,1:31.190
