Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,6.885,6.885,2,6.888,6.888,4,7.076,7.076,3,6.985,6.985,5,7.187,7.187
1,9.171,16.056,3,9.247,16.135,4,9.199,16.275,2,9.135,16.120,5,9.190,16.376
1,8.850,24.906,4,9.014,25.148,3,8.793,25.068,5,9.240,25.360,2,8.608,24.984
3,9.034,33.940,5,10.259,35.407,4,8.916,33.983,2,8.566,33.925,1,8.678,33.662
3,9.35,43.285,5,8.19,43.590,4,9.39,43.368,2,9.19,43.106,1,8.91,42.572
