Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
3,13.09,13.09,2,13.09,13.09,1,12.95,12.95,4,13.11,13.11
4,10.29,23.39,2,10.07,23.17,1,10.14,23.09,3,10.16,23.28
4,10.39,33.78,2,10.28,33.45,1,10.27,33.36,3,10.22,33.50
4,9.57,43.36,2,9.64,43.09,3,9.78,43.15,1,9.57,43.08
4,9.21,52.58,3,9.43,52.53,1,9.22,52.37,2,9.39,52.47
3,9.79,1:02.37,4,26.61,1:19.14,1,9.34,1:01.72,2,9.83,1:02.31
2,8.86,1:11.24,4,18.83,1:37.98,1,9.48,1:11.20,3,9.14,1:11.46
2,9.57,1:20.81,4,12.34,1:50.33,1,9.50,1:20.71,3,9.50,1:20.96
3,9.97,1:30.777,4,10.59,2:00.917,1,9.76,1:30.469,2,9.55,1:30.506
