Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME
1,15.85,15.85,2,15.94,15.94,3,16.05,16.05
2,12.86,28.71,1,12.74,28.68,3,12.83,28.88
2,11.72,40.43,1,11.66,40.34,3,11.68,40.56
1,10.76,51.19,2,10.86,51.20,3,10.82,51.38
1,10.21,1:01.40,2,10.28,1:01.48,3,10.21,1:01.59
1,9.85,1:11.25,2,9.91,1:11.39,3,9.91,1:11.50
1,9.33,1:20.58,2,9.38,1:20.77,3,9.38,1:20.88
1,9.12,1:29.70,2,9.09,1:29.86,3,9.11,1:29.99
1,9.10,1:38.793,2,9.12,1:38.977,3,9.04,1:39.025
