Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
4,17.867,17.867,3,17.761,17.761,2,17.662,17.662,1,17.495,17.495
4,12.813,30.680,3,12.825,30.586,2,12.829,30.490,1,12.954,30.448
3,11.550,42.229,1,11.555,42.140,4,11.759,42.249,2,11.713,42.161
2,9.566,51.794,1,9.590,51.730,4,9.832,52.081,3,9.649,51.810
1,9.592,1:01.386,3,9.860,1:01.589,4,9.712,1:01.792,2,9.690,1:01.500
1,9.660,1:11.045,3,9.706,1:11.294,4,9.654,1:11.446,2,9.735,1:11.234
1,9.654,1:20.699,2,9.484,1:20.778,4,9.694,1:21.139,3,9.573,1:20.806
3,9.669,1:30.367,1,9.236,1:30.013,4,9.376,1:30.515,2,9.310,1:30.116
4,9.99,1:40.353,1,9.57,1:39.577,3,9.25,1:39.760,2,9.53,1:39.646
