LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,ZHANG Hongchao POSITION,ZHANG Hongchao LAP TIME,ZHANG Hongchao ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
4,13.09,13.09,1,12.62,12.62,5,13.29,13.29,3,12.81,12.81,2,12.77,12.77
4,16.09,29.18,2,16.14,28.76,5,16.05,29.34,1,15.70,28.51,3,16.18,28.95
4,11.24,40.42,2,11.41,40.17,5,11.19,40.53,1,11.52,40.03,3,11.35,40.30
4,10.77,51.19,2,10.76,50.93,5,10.74,51.27,1,10.79,50.82,3,10.76,51.06
4,10.53,1:01.72,2,10.63,1:01.56,5,10.55,1:01.82,1,10.60,1:01.42,3,10.59,1:01.65
3,10.32,1:12.04,4,10.51,1:12.07,5,10.36,1:12.18,1,10.54,1:11.96,2,10.34,1:11.99
1,9.04,1:21.08,5,9.67,1:21.74,3,9.36,1:21.54,2,9.46,1:21.42,4,9.63,1:21.62
1,9.40,1:30.48,5,9.13,1:30.87,3,9.12,1:30.66,2,9.15,1:30.57,4,9.12,1:30.74
1,9.31,1:39.79,5,9.44,1:40.31,3,9.36,1:40.02,2,9.33,1:39.90,4,9.38,1:40.12
1,9.27,1:49.06,5,9.29,1:49.60,3,9.28,1:49.30,2,9.28,1:49.18,4,9.19,1:49.31
1,8.93,1:57.99,5,9.55,1:59.15,4,9.60,1:58.90,2,9.12,1:58.30,3,9.37,1:58.68
1,8.94,2:06.93,5,9.97,2:09.12,4,9.40,2:08.30,2,9.19,2:07.49,3,9.26,2:07.94
1,9.24,2:16.17,5,11.12,2:20.24,4,9.38,2:17.68,2,9.46,2:16.95,3,9.35,2:17.29
1,9.92,2:26.085,5,12.90,2:33.137,4,9.69,2:27.364,2,9.61,2:26.560,3,9.48,2:26.764
