Brigid FARRELL POSITION,Brigid FARRELL LAP TIME,Brigid FARRELL ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,Kristina NZL1 POSITION,Kristina NZL1 LAP TIME,Kristina NZL1 ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME
2,15.901,15.901,3,15.999,15.999,4,16.038,16.038,1,15.738,15.738
3,12.676,28.576,2,12.515,28.514,4,12.604,28.641,1,12.626,28.364
2,11.011,39.587,1,10.932,39.445,4,11.088,39.729,3,11.251,39.614
1,9.928,49.515,2,10.087,49.531,4,10.128,49.856,3,10.118,49.732
2,10.020,59.535,1,9.959,59.490,4,10.249,1:00.104,3,9.937,59.668
1,9.953,1:09.487,3,10.234,1:09.724,4,10.439,1:10.543,2,10.054,1:09.722
3,10.261,1:19.748,1,9.941,1:19.664,4,10.745,1:21.288,2,10.005,1:19.726
3,10.379,1:30.126,2,10.208,1:29.872,4,11.158,1:32.446,1,9.791,1:29.517
3,11.11,1:41.233,2,10.35,1:40.219,4,11.95,1:44.390,1,10.35,1:39.860
