START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,7.15,7.15,3,7.27,7.27,1,6.95,6.95,4,7.36,7.36,2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Heats,6
2,9.01,16.16,3,9.00,16.27,1,9.06,16.01,4,17.36,24.72,2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Heats,6
3,8.93,25.09,1,8.69,24.96,2,9.00,25.01,4,13.63,38.35,2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Heats,6
2,8.98,34.07,1,8.95,33.91,3,9.38,34.39,4,10.63,48.98,2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Heats,6
2,9.00,43.068,1,9.09,42.999,3,9.41,43.796,4,10.70,59.671,2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Heats,6
