KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Malwina ZAWADA POSITION,Malwina ZAWADA LAP TIME,Malwina ZAWADA ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
6,9.19,9.19,1,8.66,8.66,2,8.76,8.76,5,9.00,9.00,3,8.89,8.89,4,8.92,8.92
6,11.86,21.05,1,11.84,20.50,2,11.83,20.59,5,11.95,20.95,4,11.93,20.82,3,11.81,20.73
2,10.61,31.66,1,11.06,31.56,3,11.07,31.66,6,10.99,31.94,5,10.99,31.81,4,11.08,31.81
1,9.57,41.23,2,9.75,41.31,3,9.72,41.38,6,9.66,41.60,4,9.62,41.43,5,9.69,41.50
2,9.72,50.95,4,9.74,51.05,3,9.66,51.04,6,9.64,51.24,1,9.38,50.81,5,9.65,51.15
2,9.69,1:00.64,4,9.78,1:00.83,3,9.68,1:00.72,6,9.85,1:01.09,1,9.72,1:00.53,5,9.84,1:00.99
2,9.97,1:10.61,3,9.89,1:10.72,4,10.01,1:10.73,6,9.84,1:10.93,1,9.85,1:10.38,5,9.86,1:10.85
2,9.92,1:20.53,4,9.99,1:20.71,6,19.56,1:30.29,5,10.96,1:21.89,1,9.99,1:20.37,3,9.77,1:20.62
2,10.16,1:30.69,4,10.18,1:30.89,6,11.65,1:41.94,5,11.96,1:33.85,1,10.20,1:30.57,3,10.16,1:30.78
2,10.19,1:40.88,4,10.18,1:41.07,6,11.25,1:53.19,5,11.78,1:45.63,1,10.18,1:40.75,3,10.19,1:40.97
2,10.13,1:51.01,4,10.01,1:51.08,6,11.55,2:04.74,5,11.51,1:57.14,1,10.10,1:50.85,3,10.10,1:51.07
3,10.06,2:01.07,4,10.19,2:01.27,6,12.03,2:16.77,5,11.54,2:08.68,2,10.06,2:00.91,1,9.65,2:00.72
3,10.07,2:11.14,4,10.08,2:11.35,6,12.40,2:29.17,5,12.84,2:21.52,2,10.09,2:11.00,1,9.88,2:10.60
3,10.14,2:21.279,4,10.16,2:21.506,6,12.49,2:41.654,5,12.37,2:33.881,2,10.11,2:21.110,1,10.13,2:20.726
