Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Jan-Ebele van der REE POSITION,Jan-Ebele van der REE LAP TIME,Jan-Ebele van der REE ELAPSED TIME
2,7.20,7.20,1,6.95,6.95,3,7.31,7.31,4,7.44,7.44
2,9.01,16.21,1,9.16,16.11,3,9.12,16.43,4,9.12,16.56
2,8.70,24.91,1,8.75,24.86,3,8.57,25.00,4,8.56,25.12
2,9.19,34.10,1,9.15,34.01,3,9.12,34.12,4,9.17,34.29
4,24.93,59.022,1,9.09,43.095,2,9.11,43.230,3,9.03,43.312
