KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,12.55,12.55,3,12.78,12.78,2,12.67,12.67,4,12.89,12.89,5,13.03,13.03
2,9.60,22.15,4,9.58,22.36,1,9.41,22.08,3,9.37,22.26,5,9.48,22.51
2,9.45,31.60,4,9.45,31.81,1,9.45,31.53,3,9.48,31.74,5,9.42,31.93
2,9.39,40.99,4,9.39,41.20,1,9.39,40.92,3,9.37,41.11,5,9.42,41.35
2,9.33,50.32,4,9.30,50.50,1,9.31,50.23,3,9.32,50.43,5,9.28,50.63
2,9.15,59.47,4,9.13,59.63,1,9.19,59.42,3,9.15,59.58,5,9.09,59.72
2,9.17,1:08.64,4,9.17,1:08.80,1,9.17,1:08.59,3,9.14,1:08.72,5,9.18,1:08.90
2,9.25,1:17.89,3,9.27,1:18.07,1,9.26,1:17.85,4,9.47,1:18.19,5,9.33,1:18.23
1,9.23,1:27.117,0,,PEN,2,9.38,1:27.227,4,9.49,1:27.678,3,9.35,1:27.579
