LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME
2,13.35,13.35,5,13.63,13.63,3,13.55,13.55,6,13.67,13.67,1,13.34,13.34,4,13.56,13.56
1,9.63,22.98,4,9.77,23.40,5,9.96,23.51,6,9.93,23.60,2,9.78,23.12,3,9.70,23.26
1,9.77,32.75,4,9.69,33.09,6,9.77,33.28,5,9.55,33.15,2,9.77,32.89,3,9.72,32.98
1,9.61,42.36,4,9.59,42.68,6,9.61,42.89,5,9.64,42.79,2,9.56,42.45,3,9.58,42.56
1,9.43,51.79,4,9.46,52.14,6,9.46,52.35,5,9.43,52.22,2,9.43,51.88,3,9.44,52.00
1,9.30,1:01.09,4,9.38,1:01.52,6,9.36,1:01.71,5,9.34,1:01.56,2,9.37,1:01.25,3,9.35,1:01.35
1,9.35,1:10.44,5,9.47,1:10.99,6,9.31,1:11.02,2,9.04,1:10.60,3,9.40,1:10.65,4,9.38,1:10.73
2,9.48,1:19.92,6,9.76,1:20.75,4,9.29,1:20.31,1,9.09,1:19.69,5,9.67,1:20.32,3,9.41,1:20.14
2,9.54,1:29.46,6,10.08,1:30.833,4,9.43,1:29.74,1,9.25,1:28.94,5,10.06,1:30.381,3,9.41,1:29.55
