SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Lukasz MICHALCZUK POSITION,Lukasz MICHALCZUK LAP TIME,Lukasz MICHALCZUK ELAPSED TIME,SONG Seung-Woo POSITION,SONG Seung-Woo LAP TIME,SONG Seung-Woo ELAPSED TIME
1,6.83,6.83,3,7.34,7.34,2,6.96,6.96
1,9.61,16.44,3,9.41,16.75,2,9.51,16.47
2,9.11,25.56,3,8.86,25.62,1,8.77,25.25
2,8.95,34.51,3,8.93,34.56,1,8.95,34.21
2,9.23,43.739,3,9.29,43.842,1,9.32,43.524
