KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
2,9.49,9.49,4,9.81,9.81,1,9.36,9.36,3,9.63,9.63,5,9.99,9.99
2,13.52,23.01,4,13.44,23.25,1,13.48,22.84,3,13.50,23.13,5,13.39,23.38
2,12.63,35.64,4,12.59,35.84,1,12.65,35.49,3,12.62,35.75,5,12.56,35.94
2,12.17,47.81,4,12.20,48.04,1,12.13,47.62,3,12.18,47.93,5,12.22,48.16
3,11.52,59.33,2,11.17,59.21,1,11.50,59.12,4,11.51,59.44,5,11.39,59.55
1,10.59,1:09.92,3,10.92,1:10.13,2,10.91,1:10.03,4,10.79,1:10.23,5,10.80,1:10.35
2,10.56,1:20.48,3,10.44,1:20.57,1,10.33,1:20.36,4,10.38,1:20.61,5,10.38,1:20.73
4,9.95,1:30.43,1,9.65,1:30.22,2,9.97,1:30.33,5,9.91,1:30.52,3,9.68,1:30.41
3,9.61,1:40.04,1,9.56,1:39.78,2,9.57,1:39.90,5,9.64,1:40.16,4,9.74,1:40.15
3,9.56,1:49.60,1,9.63,1:49.41,2,9.61,1:49.51,5,9.97,1:50.13,4,9.60,1:49.75
3,9.69,1:59.29,1,9.71,1:59.12,2,9.71,1:59.22,5,9.99,2:00.12,4,9.68,1:59.43
3,9.90,2:09.19,1,9.91,2:09.03,2,9.89,2:09.11,5,10.34,2:10.46,4,9.90,2:09.33
3,9.98,2:19.17,2,10.10,2:19.13,1,9.91,2:19.02,5,10.86,2:21.32,4,10.00,2:19.33
2,9.90,2:29.066,3,9.99,2:29.113,1,9.98,2:28.997,5,11.31,2:32.630,4,9.83,2:29.158
