Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
1,12.26,12.26,3,12.52,12.52,5,12.70,12.70,2,12.40,12.40,4,12.65,12.65
1,9.44,21.70,3,9.39,21.91,5,9.43,22.13,2,9.38,21.78,4,9.40,22.05
1,9.58,31.28,3,9.57,31.48,5,9.59,31.72,2,9.61,31.39,4,9.56,31.61
1,9.48,40.76,4,9.52,41.00,5,9.42,41.14,2,9.49,40.88,3,9.35,40.96
2,9.31,50.07,4,9.35,50.35,5,9.35,50.49,1,9.07,49.95,3,9.22,50.18
2,8.98,59.05,4,9.12,59.47,5,9.12,59.61,1,9.01,58.96,3,8.98,59.16
2,8.92,1:07.97,5,9.44,1:08.91,4,9.14,1:08.75,1,8.85,1:07.81,3,9.06,1:08.22
2,9.02,1:16.99,5,9.63,1:18.54,4,9.29,1:18.04,1,8.92,1:16.73,3,9.57,1:17.79
2,9.40,1:26.390,5,10.07,1:28.609,3,9.52,1:27.558,1,9.37,1:26.094,4,10.32,1:28.107
