TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Ayame MIZUNO POSITION,Ayame MIZUNO LAP TIME,Ayame MIZUNO ELAPSED TIME
1,9.52,9.52,3,9.91,9.91,2,9.70,9.70,4,10.08,10.08,6,10.42,10.42,5,10.25,10.25
1,12.86,22.38,3,12.81,22.72,2,12.88,22.58,4,12.78,22.86,6,12.68,23.10,5,12.72,22.97
1,11.91,34.29,3,11.84,34.56,2,11.84,34.42,4,11.81,34.67,6,11.84,34.94,5,11.79,34.76
1,11.58,45.87,3,11.55,46.11,2,11.57,45.99,4,11.57,46.24,6,11.49,46.43,5,11.56,46.32
1,11.41,57.28,3,11.39,57.50,2,11.41,57.40,4,11.38,57.62,6,11.45,57.88,5,11.42,57.74
1,11.24,1:08.52,3,11.23,1:08.73,2,11.24,1:08.64,5,11.19,1:08.81,6,11.08,1:08.96,4,11.00,1:08.74
1,10.59,1:19.11,4,10.89,1:19.62,2,10.60,1:19.24,5,10.94,1:19.75,6,10.97,1:19.93,3,10.69,1:19.43
1,10.05,1:29.16,4,10.05,1:29.67,2,10.06,1:29.30,5,10.02,1:29.77,6,9.97,1:29.90,3,10.02,1:29.45
1,10.07,1:39.23,4,9.85,1:39.52,2,10.03,1:39.33,5,9.86,1:39.63,6,9.83,1:39.73,3,9.96,1:39.41
1,10.08,1:49.31,4,10.09,1:49.61,2,10.13,1:49.46,5,10.05,1:49.68,6,10.07,1:49.80,3,10.15,1:49.56
1,10.39,1:59.70,5,23.63,2:13.24,2,10.52,1:59.98,6,38.01,2:27.69,4,22.97,2:12.77,3,10.51,2:00.07
1,10.85,2:10.55,5,16.32,2:29.56,3,11.14,2:11.12,6,19.14,2:46.83,4,16.46,2:29.23,2,10.76,2:10.83
2,11.89,2:22.44,5,14.80,2:44.36,3,11.83,2:22.95,6,12.22,2:59.05,4,14.95,2:44.18,1,11.01,2:21.84
2,12.50,2:34.938,4,13.61,2:57.968,3,12.52,2:35.461,6,11.74,3:10.783,5,14.51,2:58.689,1,11.26,2:33.093
