Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME,Anastassiya KUZNETSOVA POSITION,Anastassiya KUZNETSOVA LAP TIME,Anastassiya KUZNETSOVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
1,13.79,13.79,2,13.86,13.86,4,14.10,14.10,3,13.97,13.97
2,11.08,24.87,3,11.12,24.98,4,11.02,25.12,1,10.77,24.74
1,10.54,35.41,3,10.60,35.58,4,10.58,35.70,2,10.73,35.47
1,10.89,46.30,3,10.91,46.49,4,10.88,46.58,2,10.91,46.38
1,10.55,56.85,3,10.54,57.03,4,10.58,57.16,2,10.54,56.92
1,10.44,1:07.29,3,10.45,1:07.48,4,10.44,1:07.60,2,10.44,1:07.36
1,10.17,1:17.46,3,10.19,1:17.67,4,10.24,1:17.84,2,10.21,1:17.57
1,9.82,1:27.28,3,9.93,1:27.60,4,10.21,1:28.05,2,9.81,1:27.38
1,9.97,1:37.244,3,10.03,1:37.628,4,10.67,1:38.711,2,9.94,1:37.320
