Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME
1,6.92,6.92,3,7.07,7.07,4,7.62,7.62,2,7.03,7.03
1,9.07,15.99,3,9.22,16.29,4,9.10,16.72,2,9.18,16.21
1,8.68,24.67,3,8.60,24.89,4,8.56,25.28,2,8.61,24.82
1,8.76,33.43,2,8.74,33.63,4,8.61,33.89,3,8.83,33.65
2,13.69,47.117,3,16.75,50.377,1,8.88,42.769,0,,PEN
