ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
2,13.25,13.25,1,13.20,13.20,3,13.34,13.34,4,13.43,13.43
2,10.03,23.28,1,9.96,23.16,3,10.02,23.36,4,10.03,23.46
3,10.07,33.35,1,10.05,33.21,2,9.97,33.33,4,10.07,33.53
3,9.67,43.02,2,9.80,43.01,1,9.54,42.87,4,9.67,43.20
3,9.67,52.69,4,9.86,52.87,1,9.35,52.22,2,9.18,52.38
3,9.50,1:02.19,4,9.41,1:02.28,1,9.46,1:01.68,2,9.43,1:01.81
3,9.85,1:12.04,4,9.81,1:12.09,1,9.76,1:11.44,2,9.85,1:11.66
4,10.11,1:22.15,3,9.34,1:21.43,1,9.55,1:20.99,2,9.76,1:21.42
4,10.72,1:32.864,2,9.51,1:30.939,1,9.86,1:30.848,3,10.27,1:31.685
