TIBORCZ Daniel POSITION,TIBORCZ Daniel LAP TIME,TIBORCZ Daniel ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Ryuta INOUE POSITION,Ryuta INOUE LAP TIME,Ryuta INOUE ELAPSED TIME,Mykyta KHOCHYN POSITION,Mykyta KHOCHYN LAP TIME,Mykyta KHOCHYN ELAPSED TIME,Nurlibek BEISEEV POSITION,Nurlibek BEISEEV LAP TIME,Nurlibek BEISEEV ELAPSED TIME
2,13.86,13.86,1,13.74,13.74,3,14.00,14.00,5,14.17,14.17,4,14.15,14.15
2,10.55,24.41,1,10.50,24.24,4,10.68,24.68,5,10.70,24.87,3,10.39,24.54
2,9.83,34.24,1,9.86,34.10,3,9.64,34.32,5,9.89,34.76,4,9.93,34.47
2,9.41,43.65,1,9.46,43.56,3,9.44,43.76,5,9.75,44.51,4,9.47,43.94
2,9.26,52.91,1,9.25,52.81,3,9.23,52.99,5,9.77,54.28,4,9.25,53.19
3,9.45,1:02.36,1,9.26,1:02.07,2,9.19,1:02.18,5,10.19,1:04.47,4,9.18,1:02.37
4,10.00,1:12.36,1,9.46,1:11.53,2,9.46,1:11.64,5,10.55,1:15.02,3,9.58,1:11.95
4,10.21,1:22.57,1,9.54,1:21.07,2,9.56,1:21.20,5,11.06,1:26.08,3,9.63,1:21.58
4,10.77,1:33.34,1,9.88,1:30.95,2,9.89,1:31.09,5,11.64,1:37.72,3,9.70,1:31.28
