Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
3,8.59,8.59,2,8.46,8.46,5,8.88,8.88,4,8.73,8.73,1,8.25,8.25
3,11.07,19.66,2,11.10,19.56,5,10.99,19.87,4,11.01,19.74,1,11.28,19.53
2,10.82,30.48,3,10.95,30.51,5,10.95,30.82,1,10.62,30.36,4,11.16,30.69
2,10.97,41.45,3,11.04,41.55,5,10.96,41.78,1,10.97,41.33,4,10.99,41.68
1,10.64,52.09,3,10.65,52.20,5,10.62,52.40,4,10.89,52.22,2,10.46,52.14
2,10.15,1:02.24,3,10.15,1:02.35,5,10.12,1:02.52,4,10.22,1:02.44,1,10.01,1:02.15
4,10.37,1:12.61,1,10.16,1:12.51,5,10.29,1:12.81,2,10.08,1:12.52,3,10.41,1:12.56
4,10.02,1:22.63,3,9.98,1:22.49,5,9.96,1:22.77,1,9.84,1:22.36,2,9.90,1:22.46
3,9.70,1:32.33,4,9.99,1:32.48,5,9.86,1:32.63,1,9.77,1:32.13,2,9.78,1:32.24
3,9.45,1:41.78,4,9.43,1:41.91,5,9.40,1:42.03,1,9.45,1:41.58,2,9.44,1:41.68
3,9.72,1:51.50,4,9.59,1:51.50,2,9.25,1:51.28,1,9.65,1:51.23,5,10.02,1:51.70
3,9.73,2:01.23,5,15.08,2:06.58,1,9.51,2:00.79,2,9.60,2:00.83,4,9.57,2:01.27
4,9.61,2:10.84,5,17.12,2:23.70,1,9.71,2:10.50,3,9.88,2:10.71,2,9.25,2:10.52
3,9.91,2:20.742,0,,PEN,0,,PEN,2,9.84,2:20.546,1,9.67,2:20.181
