Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,XU Aili POSITION,XU Aili LAP TIME,XU Aili ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME
2,10.21,10.21,3,10.37,10.37,4,10.42,10.42,5,10.59,10.59,1,10.16,10.16,7,10.84,10.84,6,10.74,10.74
2,15.75,25.96,3,15.72,26.09,4,15.80,26.22,5,15.85,26.44,1,15.69,25.85,7,15.89,26.73,6,15.84,26.58
2,15.59,41.55,3,15.65,41.74,4,15.69,41.91,5,15.65,42.09,1,15.59,41.44,7,15.62,42.35,6,15.66,42.24
4,15.12,56.67,3,14.91,56.65,2,14.64,56.55,6,14.95,57.04,1,15.07,56.51,7,14.82,57.17,5,14.61,56.85
3,11.37,1:08.04,4,11.47,1:08.12,1,11.31,1:07.86,5,11.11,1:08.15,2,11.47,1:07.98,7,11.20,1:08.37,6,11.37,1:08.22
1,9.76,1:17.80,5,10.10,1:18.22,3,10.14,1:18.00,2,9.73,1:17.88,4,10.12,1:18.10,7,10.17,1:18.54,6,10.11,1:18.33
1,10.40,1:28.20,5,10.25,1:28.47,3,10.36,1:28.36,2,10.41,1:28.29,4,10.26,1:28.36,7,10.12,1:28.66,6,10.23,1:28.56
1,10.53,1:38.73,2,10.32,1:38.79,5,10.68,1:39.04,3,10.55,1:38.84,4,10.58,1:38.94,7,10.61,1:39.27,6,10.59,1:39.15
2,9.68,1:48.41,1,9.51,1:48.30,5,9.67,1:48.71,3,9.70,1:48.54,4,9.69,1:48.63,7,9.67,1:48.94,6,9.68,1:48.83
2,9.71,1:58.12,1,9.75,1:58.05,5,9.68,1:58.39,3,9.68,1:58.22,4,9.68,1:58.31,7,9.58,1:58.52,6,9.67,1:58.50
2,9.97,2:08.09,1,10.01,2:08.06,5,9.94,2:08.33,3,9.98,2:08.20,4,9.96,2:08.27,6,9.97,2:08.49,7,10.13,2:08.63
1,9.70,2:17.79,2,10.05,2:18.11,6,10.12,2:18.45,3,10.04,2:18.24,5,10.15,2:18.42,4,9.87,2:18.36,7,10.08,2:18.71
1,9.97,2:27.76,2,9.98,2:28.09,6,9.99,2:28.44,4,10.05,2:28.29,5,9.87,2:28.29,3,9.75,2:28.11,7,10.08,2:28.79
1,10.17,2:37.927,3,10.19,2:38.271,0,,PEN,5,10.40,2:38.689,4,10.07,2:38.355,2,10.05,2:38.153,6,9.93,2:38.720
