Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,12.72,12.72,4,12.99,12.99,5,13.15,13.15,1,12.60,12.60,3,12.81,12.81
2,9.77,22.49,4,9.78,22.77,5,9.71,22.86,1,9.85,22.45,3,9.85,22.66
1,9.29,31.78,4,9.25,32.02,5,9.29,32.15,2,9.38,31.83,3,9.26,31.92
1,9.51,41.29,5,9.70,41.72,4,9.47,41.62,2,9.52,41.35,3,9.51,41.43
2,9.30,50.59,5,9.35,51.07,4,9.40,51.02,1,9.12,50.47,3,9.25,50.68
3,9.33,59.92,4,9.32,1:00.39,5,9.54,1:00.56,1,9.28,59.75,2,9.15,59.83
2,9.35,1:09.27,4,9.68,1:10.07,5,9.84,1:10.40,1,9.42,1:09.17,3,9.44,1:09.27
1,9.48,1:18.75,4,10.10,1:20.17,5,10.59,1:20.99,2,9.59,1:18.76,3,9.64,1:18.91
1,9.62,1:28.361,4,10.65,1:30.817,5,11.31,1:32.294,3,10.05,1:28.801,2,9.57,1:28.480
