HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,Tobias PIETZSCH POSITION,Tobias PIETZSCH LAP TIME,Tobias PIETZSCH ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,CHOE Un Song POSITION,CHOE Un Song LAP TIME,CHOE Un Song ELAPSED TIME,Omer Faruk SAYLAR POSITION,Omer Faruk SAYLAR LAP TIME,Omer Faruk SAYLAR ELAPSED TIME
2,11.29,11.29,1,11.13,11.13,3,11.46,11.46,6,12.04,12.04,4,11.71,11.71,5,11.84,11.84
2,15.63,26.92,1,15.68,26.81,3,15.68,27.14,5,15.53,27.57,4,15.67,27.38,6,15.87,27.71
2,13.57,40.49,1,13.58,40.39,3,13.48,40.62,4,13.22,40.79,5,13.43,40.81,6,13.28,40.99
2,12.79,53.28,1,12.75,53.14,3,12.91,53.53,4,12.91,53.70,5,13.07,53.88,6,13.04,54.03
2,11.98,1:05.26,1,12.01,1:05.15,3,11.89,1:05.42,4,11.84,1:05.54,5,11.81,1:05.69,6,11.78,1:05.81
2,11.49,1:16.75,1,11.51,1:16.66,3,11.40,1:16.82,4,11.47,1:17.01,5,11.48,1:17.17,6,11.43,1:17.24
2,10.69,1:27.44,1,10.70,1:27.36,3,10.74,1:27.56,4,10.75,1:27.76,5,10.71,1:27.88,6,10.76,1:28.00
2,10.16,1:37.60,1,10.16,1:37.52,3,10.12,1:37.68,4,10.06,1:37.82,5,10.06,1:37.94,6,10.06,1:38.06
2,9.85,1:47.45,1,9.83,1:47.35,3,9.93,1:47.61,4,9.94,1:47.76,5,9.94,1:47.88,6,9.94,1:48.00
1,9.29,1:56.74,2,9.54,1:56.89,3,9.29,1:56.90,4,9.29,1:57.05,5,9.29,1:57.17,6,9.32,1:57.32
1,8.91,2:05.65,3,9.04,2:05.93,2,8.86,2:05.76,4,8.92,2:05.97,5,8.95,2:06.12,6,9.12,2:06.44
1,9.06,2:14.71,4,25.87,2:31.80,5,27.32,2:33.08,6,31.20,2:37.17,2,8.97,2:15.09,3,9.47,2:15.91
1,9.34,2:24.05,4,16.59,2:48.39,5,16.76,2:49.84,6,19.81,2:56.98,2,9.10,2:24.19,3,10.18,2:26.09
1,9.40,2:33.45,4,12.09,3:00.480,5,13.34,3:03.189,6,18.92,3:15.900,2,9.32,2:33.51,3,10.67,2:36.768
