van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Iulia KROMIDO POSITION,Iulia KROMIDO LAP TIME,Iulia KROMIDO ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME
1,14.98,14.98,4,15.11,15.11,5,15.20,15.20,6,15.27,15.27,3,15.09,15.09,2,15.04,15.04
2,10.74,25.72,1,10.53,25.64,5,10.81,26.01,6,10.83,26.10,3,10.70,25.79,4,10.86,25.90
3,10.70,36.42,2,10.67,36.31,6,10.86,36.87,5,10.65,36.75,1,10.42,36.21,4,10.66,36.56
3,10.19,46.61,2,10.20,46.51,6,10.10,46.97,5,10.10,46.85,1,10.20,46.41,4,10.14,46.70
3,10.00,56.61,2,9.99,56.50,6,10.06,57.03,5,10.05,56.90,1,10.00,56.41,4,10.03,56.73
3,9.62,1:06.23,2,9.61,1:06.11,6,9.84,1:06.87,5,9.78,1:06.68,1,9.60,1:06.01,4,9.67,1:06.40
3,9.55,1:15.78,2,9.61,1:15.72,6,10.09,1:16.96,5,9.86,1:16.54,1,9.62,1:15.63,4,9.74,1:16.14
2,9.70,1:25.48,3,10.39,1:26.11,6,10.45,1:27.41,5,10.31,1:26.85,1,9.74,1:25.37,4,10.23,1:26.37
2,9.86,1:35.34,3,10.15,1:36.26,6,10.91,1:38.32,5,10.51,1:37.36,1,9.94,1:35.31,4,10.58,1:36.95
