POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME
1,12.25,12.25,2,12.37,12.37,3,12.55,12.55
1,9.42,21.67,2,9.42,21.79,3,9.33,21.88
2,9.78,31.45,1,9.56,31.35,3,9.60,31.48
3,10.09,41.54,1,9.91,41.26,2,9.95,41.43
3,9.73,51.27,1,9.73,50.99,2,9.74,51.17
3,9.66,1:00.93,1,9.83,1:00.82,2,9.75,1:00.92
2,9.68,1:10.61,1,9.51,1:10.33,3,9.77,1:10.69
3,9.52,1:20.13,1,9.69,1:20.02,2,9.42,1:20.11
3,9.75,1:29.88,1,9.55,1:29.57,2,9.54,1:29.65
3,9.62,1:39.50,1,9.64,1:39.21,2,9.72,1:39.37
3,9.76,1:49.26,1,9.38,1:48.59,2,9.80,1:49.17
3,9.78,1:59.04,1,9.63,1:58.22,2,9.59,1:58.76
3,9.55,2:08.59,1,9.22,2:07.44,2,9.40,2:08.16
3,9.40,2:17.99,1,9.38,2:16.82,2,9.18,2:17.34
2,9.68,2:27.67,1,9.53,2:26.35,3,13.70,2:31.04
2,9.82,2:37.49,1,9.72,2:36.07,3,11.75,2:42.79
2,10.11,2:47.60,1,9.60,2:45.67,3,9.83,2:52.62
2,10.03,2:57.63,1,9.83,2:55.50,3,9.96,3:02.58
2,9.41,3:07.04,1,9.56,3:05.06,3,10.43,3:13.01
2,9.58,3:16.62,1,9.44,3:14.50,3,10.48,3:23.49
2,9.96,3:26.58,1,9.70,3:24.20,3,9.72,3:33.21
2,10.18,3:36.76,1,9.67,3:33.87,3,9.05,3:42.26
2,10.19,3:46.95,1,9.57,3:43.44,3,10.17,3:52.43
2,10.23,3:57.18,1,9.60,3:53.04,3,10.18,4:02.61
2,9.71,4:06.89,1,9.70,4:02.74,3,10.43,4:13.04
2,9.99,4:16.88,1,10.00,4:12.74,3,9.73,4:22.77
2,10.36,4:27.24,1,9.64,4:22.38,3,7.84,4:32.794
