KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME,Bojan BAKA POSITION,Bojan BAKA LAP TIME,Bojan BAKA ELAPSED TIME,CHANG Hyun Woo POSITION,CHANG Hyun Woo LAP TIME,CHANG Hyun Woo ELAPSED TIME,Mykyta KHOCHYN POSITION,Mykyta KHOCHYN LAP TIME,Mykyta KHOCHYN ELAPSED TIME
3,9.77,9.77,2,9.58,9.58,5,10.20,10.20,1,9.40,9.40,6,10.66,10.66,4,9.96,9.96
3,11.78,21.55,2,11.85,21.43,5,11.58,21.78,1,11.91,21.31,6,11.51,22.17,4,11.71,21.67
3,11.33,32.88,2,11.34,32.77,5,11.37,33.15,1,11.32,32.63,6,11.31,33.48,4,11.32,32.99
3,11.05,43.93,2,11.04,43.81,5,11.03,44.18,1,11.05,43.68,6,10.95,44.43,4,11.02,44.01
3,10.78,54.71,2,10.81,54.62,5,10.74,54.92,1,10.84,54.52,6,10.66,55.09,4,10.83,54.84
2,10.95,1:05.66,3,11.12,1:05.74,5,10.91,1:05.83,1,11.00,1:05.52,4,10.68,1:05.77,6,11.09,1:05.93
4,10.38,1:16.04,2,10.08,1:15.82,3,10.12,1:15.95,5,10.93,1:16.45,1,9.87,1:15.64,6,10.56,1:16.49
4,9.81,1:25.85,2,9.81,1:25.63,3,9.80,1:25.75,6,10.80,1:27.25,1,9.88,1:25.52,5,9.54,1:26.03
4,9.59,1:35.44,2,9.61,1:35.24,3,9.51,1:35.26,6,11.31,1:38.56,1,9.54,1:35.06,5,9.62,1:35.65
3,9.19,1:44.63,4,9.73,1:44.97,2,9.29,1:44.55,6,11.62,1:50.18,1,9.38,1:44.44,5,9.76,1:45.41
3,9.34,1:53.97,4,9.90,1:54.87,2,9.31,1:53.86,6,12.42,2:02.60,1,9.31,1:53.75,5,10.00,1:55.41
3,9.33,2:03.30,4,10.19,2:05.06,2,9.36,2:03.22,6,13.00,2:15.60,1,9.34,2:03.09,5,10.45,2:05.86
2,9.14,2:12.44,4,10.60,2:15.66,3,9.59,2:12.81,6,12.73,2:28.33,1,9.33,2:12.42,5,10.79,2:16.65
1,9.15,2:21.59,4,10.92,2:26.58,3,10.07,2:22.88,6,12.65,2:40.98,2,9.63,2:22.05,5,11.63,2:28.28
