Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Jonathan LOPEZ POSITION,Jonathan LOPEZ LAP TIME,Jonathan LOPEZ ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
4,9.22,9.22,3,9.12,9.12,5,9.43,9.43,2,9.05,9.05,6,9.57,9.57,1,8.94,8.94
4,12.84,22.06,3,12.81,21.93,5,12.83,22.26,2,12.77,21.82,6,12.85,22.42,1,12.71,21.65
4,12.13,34.19,3,12.17,34.10,5,12.12,34.38,2,12.11,33.93,6,12.13,34.55,1,12.15,33.80
5,11.43,45.62,4,11.38,45.48,3,10.98,45.36,1,11.36,45.29,6,11.20,45.75,2,11.51,45.31
5,9.64,55.26,4,9.67,55.15,1,9.46,54.82,3,9.70,54.99,6,9.85,55.60,2,9.61,54.92
5,10.05,1:05.31,3,10.02,1:05.17,1,10.18,1:05.00,4,10.18,1:05.17,6,9.94,1:05.54,2,10.15,1:05.07
5,9.73,1:15.04,1,9.45,1:14.62,3,9.83,1:14.83,4,9.78,1:14.95,6,9.87,1:15.41,2,9.64,1:14.71
5,9.58,1:24.62,1,9.70,1:24.32,3,9.63,1:24.46,4,9.60,1:24.55,6,9.66,1:25.07,2,9.67,1:24.38
5,9.86,1:34.48,1,9.86,1:34.18,4,9.95,1:34.41,2,9.65,1:34.20,6,9.87,1:34.94,3,9.90,1:34.28
5,9.49,1:43.97,2,9.47,1:43.65,4,9.46,1:43.87,1,9.36,1:43.56,6,10.01,1:44.95,3,9.48,1:43.76
5,9.26,1:53.23,2,9.31,1:52.96,4,9.28,1:53.15,1,9.32,1:52.88,6,10.48,1:55.43,3,9.27,1:53.03
5,9.42,2:02.65,2,9.09,2:02.05,4,9.15,2:02.30,1,9.14,2:02.02,6,10.72,2:06.15,3,9.15,2:02.18
5,10.14,2:12.79,1,8.84,2:10.89,3,9.00,2:11.30,4,9.41,2:11.43,6,11.09,2:17.24,2,9.01,2:11.19
5,11.26,2:24.048,1,9.13,2:20.013,2,9.25,2:20.543,4,10.79,2:22.216,6,11.53,2:28.762,3,9.45,2:20.631
