Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME
2,9.07,9.07,5,9.34,9.34,1,8.94,8.94,4,9.15,9.15,3,9.11,9.11,6,9.41,9.41
3,12.15,21.22,5,12.11,21.45,2,12.19,21.13,4,12.18,21.33,1,11.89,21.00,6,12.13,21.54
3,12.26,33.48,4,12.05,33.50,2,12.22,33.35,5,12.20,33.53,1,12.24,33.24,6,12.13,33.67
1,11.15,44.63,4,11.44,44.94,3,11.50,44.85,5,11.49,45.02,2,11.50,44.74,6,11.47,45.14
1,10.39,55.02,4,10.47,55.41,3,10.45,55.30,5,10.47,55.49,2,10.44,55.18,6,10.39,55.53
1,10.55,1:05.57,4,10.44,1:05.85,3,10.42,1:05.72,6,10.61,1:06.10,2,10.49,1:05.67,5,10.45,1:05.98
2,9.88,1:15.45,4,9.88,1:15.73,1,9.66,1:15.38,6,9.77,1:15.87,3,9.96,1:15.63,5,9.82,1:15.80
3,10.02,1:25.47,4,9.84,1:25.57,2,9.99,1:25.37,6,9.86,1:25.73,1,9.59,1:25.22,5,9.84,1:25.64
2,9.87,1:35.34,5,10.10,1:35.67,3,10.09,1:35.46,6,9.94,1:35.67,1,10.03,1:35.25,4,9.91,1:35.55
2,9.91,1:45.25,4,9.80,1:45.47,3,9.91,1:45.37,6,10.10,1:45.77,1,9.93,1:45.18,5,10.01,1:45.56
2,9.77,1:55.02,4,9.63,1:55.10,3,9.65,1:55.02,6,10.66,1:56.43,1,9.77,1:54.95,5,10.18,1:55.74
4,10.05,2:05.07,1,9.50,2:04.60,3,9.85,2:04.87,6,10.92,2:07.35,2,9.78,2:04.73,5,10.57,2:06.31
4,9.72,2:14.79,1,9.68,2:14.28,3,9.69,2:14.56,6,11.52,2:18.87,2,9.76,2:14.49,5,11.07,2:17.38
3,9.85,2:24.631,1,10.06,2:24.332,4,10.18,2:24.732,6,11.96,2:30.829,2,9.88,2:24.369,5,11.49,2:28.867
