Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
3,12.33,12.33,1,12.24,12.24,2,12.27,12.27,4,12.46,12.46
1,9.55,21.88,3,9.87,22.11,4,9.91,22.18,2,9.56,22.02
1,9.35,31.23,2,9.27,31.38,4,9.28,31.46,3,9.37,31.39
1,9.11,40.34,2,9.07,40.45,3,9.13,40.59,4,9.47,40.86
1,9.17,49.51,2,9.12,49.57,3,9.09,49.68,4,9.00,49.86
1,9.16,58.67,2,9.15,58.72,3,9.13,58.81,4,9.07,58.93
3,9.30,1:07.97,1,9.14,1:07.86,2,9.11,1:07.92,4,9.21,1:08.14
3,9.39,1:17.36,1,9.22,1:17.08,2,9.31,1:17.23,4,9.31,1:17.45
3,9.18,1:26.535,1,9.35,1:26.422,2,9.28,1:26.507,4,9.28,1:26.726
