Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Natalia PLUGINA POSITION,Natalia PLUGINA LAP TIME,Natalia PLUGINA ELAPSED TIME
2,7.48,7.48,1,7.18,7.18,3,7.53,7.53,4,7.72,7.72
2,9.97,17.45,1,9.65,16.83,4,9.98,17.51,3,9.75,17.47
4,9.80,27.25,1,9.30,26.13,2,9.00,26.51,3,9.38,26.85
4,9.67,36.92,1,9.55,35.68,2,9.24,35.75,3,9.39,36.24
4,10.00,46.919,1,9.61,45.288,2,9.62,45.370,3,9.63,45.870
