LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
2,12.73,12.73,1,12.25,12.25,3,12.88,12.88,4,13.00,13.00
2,9.16,21.89,1,8.96,21.21,3,9.19,22.07,4,9.16,22.16
2,9.13,31.02,1,9.02,30.23,3,9.11,31.18,4,9.11,31.27
2,8.97,39.99,1,9.10,39.33,3,9.03,40.21,4,9.05,40.32
2,8.96,48.95,1,9.22,48.55,3,9.01,49.22,4,9.09,49.41
1,8.87,57.82,2,9.40,57.95,3,9.10,58.32,4,9.23,58.64
1,9.06,1:06.88,2,9.58,1:07.53,3,9.31,1:07.63,4,9.60,1:08.24
1,9.33,1:16.21,3,9.79,1:17.32,2,9.52,1:17.15,4,9.88,1:18.12
1,10.13,1:26.333,3,10.02,1:27.339,2,9.64,1:26.789,4,10.27,1:28.385
