Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Maureen de LANGE POSITION,Maureen de LANGE LAP TIME,Maureen de LANGE ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,YEO Soo-Yeon POSITION,YEO Soo-Yeon LAP TIME,YEO Soo-Yeon ELAPSED TIME
1,16.494,16.494,2,16.671,16.671,4,16.795,16.795,3,16.795,16.795
1,12.355,28.849,2,12.232,28.902,4,12.272,29.067,3,12.206,29.001
2,10.517,39.366,3,10.495,39.397,4,10.356,39.422,1,10.136,39.137
2,10.258,49.623,3,10.335,49.731,4,10.406,49.828,1,10.310,49.446
2,10.376,59.999,4,10.324,1:00.055,3,10.217,1:00.044,1,10.521,59.967
2,10.345,1:10.344,4,10.481,1:10.536,3,10.421,1:10.465,1,10.248,1:10.214
3,10.380,1:20.724,4,10.354,1:20.889,2,10.173,1:20.637,1,10.285,1:20.499
3,10.310,1:31.033,4,10.249,1:31.138,2,10.253,1:30.889,1,10.276,1:30.774
3,10.24,1:41.273,4,10.29,1:41.422,2,10.25,1:41.130,1,10.24,1:41.014
