Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Michal CUJA POSITION,Michal CUJA LAP TIME,Michal CUJA ELAPSED TIME,Philemon RAINER POSITION,Philemon RAINER LAP TIME,Philemon RAINER ELAPSED TIME
5,10.39,10.39,1,10.11,10.11,2,10.16,10.16,3,10.25,10.25,4,10.26,10.26
5,12.81,23.20,4,12.99,23.10,1,12.71,22.87,3,12.79,23.04,2,12.70,22.96
4,11.62,34.82,3,11.69,34.79,1,11.75,34.62,5,11.84,34.88,2,11.76,34.72
3,11.65,46.47,2,11.58,46.37,4,11.96,46.58,5,11.80,46.68,1,11.62,46.34
3,11.09,57.56,2,11.09,57.46,4,11.06,57.64,5,11.09,57.77,1,11.01,57.35
3,11.32,1:08.88,2,11.38,1:08.84,4,11.32,1:08.96,5,11.32,1:09.09,1,11.38,1:08.73
4,11.46,1:20.34,3,11.47,1:20.31,1,11.21,1:20.17,5,11.34,1:20.43,2,11.51,1:20.24
2,10.36,1:30.70,4,10.75,1:31.06,1,9.55,1:29.72,3,10.57,1:31.00,5,11.19,1:31.43
2,10.22,1:40.92,4,10.07,1:41.13,1,9.70,1:39.42,3,10.00,1:41.00,5,10.09,1:41.52
2,10.40,1:51.32,4,10.35,1:51.48,1,9.85,1:49.27,3,10.41,1:51.41,5,10.13,1:51.65
2,10.49,2:01.81,3,10.60,2:02.08,1,10.02,1:59.29,5,29.47,2:20.88,4,24.46,2:16.11
2,10.93,2:12.74,3,10.75,2:12.83,1,10.05,2:09.34,5,34.39,2:55.27,4,17.01,2:33.12
2,11.16,2:23.90,3,11.22,2:24.05,1,10.26,2:19.60,5,15.31,3:10.58,4,13.09,2:46.21
2,11.57,2:35.464,3,22.64,2:46.684,1,10.44,2:30.038,0,,notime,4,12.68,2:58.886
