Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Josephine MESCHNIK POSITION,Josephine MESCHNIK LAP TIME,Josephine MESCHNIK ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
2,7.64,7.64,1,7.42,7.42,3,7.74,7.74
2,9.72,17.36,1,9.78,17.20,3,9.73,17.47
2,9.30,26.66,1,9.40,26.60,3,9.22,26.69
3,9.64,36.30,1,9.57,36.17,2,9.56,36.25
3,9.83,46.121,1,9.74,45.903,2,9.77,46.014
