Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,JUNG Yanghun Ben POSITION,JUNG Yanghun Ben LAP TIME,JUNG Yanghun Ben ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
3,12.77,12.77,2,12.62,12.62,4,12.88,12.88,1,12.56,12.56,5,12.97,12.97
3,9.31,22.08,2,9.34,21.96,5,9.42,22.30,1,9.27,21.83,4,9.20,22.17
3,9.23,31.31,2,9.22,31.18,5,9.22,31.52,1,9.22,31.05,4,9.24,31.41
3,9.05,40.36,2,9.10,40.28,5,9.00,40.52,1,9.13,40.18,4,9.01,40.42
3,8.90,49.26,1,8.85,49.13,5,8.95,49.47,2,8.97,49.15,4,8.93,49.35
2,8.66,57.92,1,8.77,57.90,5,8.88,58.35,3,9.00,58.15,4,8.83,58.18
1,8.54,1:06.46,2,8.75,1:06.65,5,9.08,1:07.43,4,9.17,1:07.32,3,8.77,1:06.95
2,8.88,1:15.34,1,8.63,1:15.28,5,9.25,1:16.68,4,9.31,1:16.63,3,8.76,1:15.71
2,9.22,1:24.56,1,8.88,1:24.16,5,9.71,1:26.39,4,9.48,1:26.11,3,9.12,1:24.83
