Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
1,6.62,6.62,3,6.79,6.79,2,6.69,6.69,4,6.85,6.85,5,7.13,7.13
1,9.11,15.73,5,45.36,52.16,3,9.26,15.96,2,9.06,15.92,4,9.16,16.29
1,8.65,24.38,5,20.73,1:12.89,3,8.76,24.72,2,8.49,24.41,4,8.76,25.05
2,8.79,33.18,5,17.78,1:30.67,3,8.72,33.44,1,8.74,33.16,4,8.70,33.76
2,9.02,42.200,5,17.89,1:48.557,3,9.15,42.589,1,8.98,42.131,4,8.92,42.672
