Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Gloria IORIATTI POSITION,Gloria IORIATTI LAP TIME,Gloria IORIATTI ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME
3,16.03,16.03,2,15.96,15.96,4,16.06,16.06,1,15.89,
2,12.68,28.71,3,12.88,28.84,4,12.91,28.97,1,12.75,
2,11.92,40.63,3,11.95,40.79,4,12.03,41.00,1,11.98,
3,10.25,50.88,2,10.04,50.83,4,9.92,50.92,1,10.04,
4,9.71,1:00.59,3,9.74,1:00.57,2,9.57,1:00.49,1,9.82,
4,10.08,1:10.67,3,9.54,1:10.11,1,9.31,1:09.80,2,9.51,
4,10.48,1:21.15,3,9.61,1:19.72,1,9.42,1:19.22,2,9.61,
4,10.93,1:32.08,2,9.85,1:29.57,1,9.69,1:28.91,2,9.97,
3,11.63,1:43.71,4,20.79,1:50.36,1,10.03,1:38.94,2,11.40,
