Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Kinga KOVACS POSITION,Kinga KOVACS LAP TIME,Kinga KOVACS ELAPSED TIME
4,9.515,9.515,5,9.540,9.540,1,9.034,9.034,3,9.477,9.477,2,9.231,9.231,6,9.591,9.591
4,12.230,21.745,6,12.409,21.950,2,12.341,21.375,3,11.970,21.447,5,12.551,21.782,1,11.641,21.232
5,11.857,33.602,4,11.630,33.579,3,12.045,33.420,2,11.844,33.291,6,11.971,33.752,1,11.947,33.179
4,11.737,45.339,6,12.011,45.591,2,11.623,45.044,3,11.905,45.196,5,11.691,45.443,1,11.797,44.976
5,12.178,57.517,6,12.015,57.605,2,12.034,57.078,3,11.952,57.149,4,11.912,57.355,1,12.023,56.999
5,10.564,1:08.081,6,10.702,1:08.307,4,10.946,1:08.023,2,10.615,1:07.763,1,10.323,1:07.678,3,10.924,1:07.923
4,10.444,1:18.525,6,10.414,1:18.721,5,10.609,1:18.632,2,10.542,1:18.305,1,10.475,1:18.153,3,10.427,1:18.350
4,10.746,1:29.271,6,10.774,1:29.495,5,10.648,1:29.280,2,10.689,1:28.994,1,10.767,1:28.920,3,10.737,1:29.087
5,10.981,1:40.252,6,10.939,1:40.434,4,10.873,1:40.153,3,11.069,1:40.063,1,10.991,1:39.911,2,10.925,1:40.012
4,10.549,1:50.801,6,10.556,1:50.990,3,10.562,1:50.715,1,10.553,1:50.616,2,10.726,1:50.637,5,10.935,1:50.948
4,10.606,2:01.407,5,10.933,2:01.923,3,10.492,2:01.207,1,10.407,2:01.023,2,10.477,2:01.113,6,11.169,2:02.116
4,10.401,2:11.808,5,11.065,2:12.988,2,10.409,2:11.616,1,10.473,2:11.496,3,10.507,2:11.621,6,11.350,2:13.466
4,10.702,2:22.510,5,11.879,2:24.867,3,10.663,2:22.279,1,10.669,2:22.165,2,10.623,2:22.244,6,11.779,2:25.245
4,10.837,2:33.346,5,11.955,2:36.822,3,10.947,2:33.226,1,10.862,2:33.027,2,10.915,2:33.158,6,12.405,2:37.650
