ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Elisabeth WITT POSITION,Elisabeth WITT LAP TIME,Elisabeth WITT ELAPSED TIME,Joanie GERVAIS POSITION,Joanie GERVAIS LAP TIME,Joanie GERVAIS ELAPSED TIME
4,9.68,9.68,3,9.55,9.55,2,9.53,9.53,5,9.87,9.87,1,9.40,9.40,6,9.97,9.97
4,14.04,23.72,3,14.08,23.63,1,13.88,23.41,5,14.04,23.91,2,14.11,23.51,6,14.06,24.03
4,12.58,36.30,3,12.57,36.20,1,12.56,35.97,5,12.55,36.46,2,12.56,36.07,6,12.54,36.57
4,12.79,49.09,3,12.79,48.99,1,12.77,48.74,5,12.81,49.27,2,12.78,48.85,6,12.82,49.39
4,12.81,1:01.90,3,12.78,1:01.77,1,12.72,1:01.46,5,12.83,1:02.10,2,12.77,1:01.62,6,12.82,1:02.21
4,12.02,1:13.92,2,11.96,1:13.73,1,12.25,1:13.71,5,12.02,1:14.12,3,12.19,1:13.81,6,11.99,1:14.20
4,10.93,1:24.85,1,10.88,1:24.61,3,11.03,1:24.74,5,10.90,1:25.02,2,10.88,1:24.69,6,10.90,1:25.10
5,10.94,1:35.79,2,10.83,1:35.44,6,11.05,1:35.79,1,10.40,1:35.42,3,10.90,1:35.59,4,10.53,1:35.63
4,9.76,1:45.55,3,10.05,1:45.49,6,10.19,1:45.98,1,9.81,1:45.23,5,10.23,1:45.82,2,9.78,1:45.41
3,9.98,1:55.53,4,10.14,1:55.63,6,10.24,1:56.22,1,10.11,1:55.34,5,10.23,1:56.05,2,10.12,1:55.53
1,9.75,2:05.28,4,10.19,2:05.82,6,10.14,2:06.36,2,10.18,2:05.52,5,10.14,2:06.19,3,10.27,2:05.80
1,9.76,2:15.04,3,9.99,2:15.81,6,10.46,2:16.82,2,9.74,2:15.26,5,10.54,2:16.73,4,10.85,2:16.65
1,10.01,2:25.05,3,10.05,2:25.86,6,11.42,2:28.24,2,9.91,2:25.17,4,11.01,2:27.74,5,11.54,2:28.19
1,10.35,2:35.392,3,10.49,2:36.348,5,11.35,2:39.585,2,10.42,2:35.583,4,11.20,2:38.939,6,12.45,2:40.639
