MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME
5,9.32,9.32,2,8.99,8.99,1,8.82,8.82,6,9.47,9.47,4,9.19,9.19,3,9.07,9.07
5,11.14,20.46,3,11.18,20.17,2,11.20,20.02,6,11.14,20.61,4,11.15,20.34,1,10.85,19.92
5,10.89,31.35,2,10.84,31.01,3,11.00,31.02,6,10.95,31.56,4,10.90,31.24,1,11.02,30.94
5,10.60,41.95,1,10.51,41.52,3,10.68,41.70,6,10.52,42.08,4,10.57,41.81,2,10.71,41.65
5,10.93,52.88,1,10.91,52.43,3,10.95,52.65,6,10.93,53.01,4,10.97,52.78,2,10.89,52.54
3,10.47,1:03.35,2,10.87,1:03.30,4,10.81,1:03.46,6,10.71,1:03.72,5,10.76,1:03.54,1,10.74,1:03.28
2,10.01,1:13.36,4,10.26,1:13.56,5,10.26,1:13.72,6,10.12,1:13.84,1,9.72,1:13.26,3,10.13,1:13.41
2,9.75,1:23.11,4,9.74,1:23.30,5,9.70,1:23.42,6,9.69,1:23.53,1,9.76,1:23.02,3,9.81,1:23.22
2,9.72,1:32.83,4,9.69,1:32.99,6,9.71,1:33.13,5,9.54,1:33.07,1,9.74,1:32.76,3,9.68,1:32.90
2,9.40,1:42.23,5,9.58,1:42.57,6,9.72,1:42.85,1,9.12,1:42.19,3,9.61,1:42.37,4,9.52,1:42.42
2,9.20,1:51.43,5,9.35,1:51.92,6,9.66,1:52.51,1,9.12,1:51.31,3,9.14,1:51.51,4,9.34,1:51.76
2,9.35,2:00.78,5,9.36,2:01.28,6,9.98,2:02.49,1,9.38,2:00.69,3,9.37,2:00.88,4,9.45,2:01.21
2,9.45,2:10.23,4,9.70,2:10.98,6,10.35,2:12.84,1,9.46,2:10.15,3,9.43,2:10.31,5,10.07,2:11.28
0,9.56,2:19.79,4,10.00,2:20.98,6,10.67,2:23.51,0,9.61,2:19.76,3,9.60,2:19.91,5,11.10,2:22.38
