TALABOS Attila POSITION,TALABOS Attila LAP TIME,TALABOS Attila ELAPSED TIME,Wan Akif WAN FAIZAL POSITION,Wan Akif WAN FAIZAL LAP TIME,Wan Akif WAN FAIZAL ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,Nurlibek BEISEEV POSITION,Nurlibek BEISEEV LAP TIME,Nurlibek BEISEEV ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME
1,7.00,7.00,5,7.68,7.68,2,7.13,7.13,4,7.48,7.48,3,7.29,7.29
1,8.99,15.99,5,9.74,17.42,2,8.93,16.06,4,9.13,16.61,3,9.01,16.30
2,8.60,24.59,5,9.67,27.09,1,8.41,24.47,4,8.47,25.08,3,8.48,24.78
2,8.59,33.18,5,9.59,36.68,1,8.60,33.07,4,8.60,33.68,3,8.51,33.29
2,8.72,41.90,5,9.85,46.53,1,8.67,41.74,4,8.79,42.47,3,8.70,41.99
