Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME
1,13.23,13.23,2,13.24,13.24,4,13.51,13.51,3,13.35,13.35
1,10.12,23.35,2,10.19,23.43,4,10.10,23.61,3,10.18,23.53
1,10.25,33.60,2,10.27,33.70,3,10.15,33.76,4,10.25,33.78
2,9.80,43.40,3,9.84,43.54,1,9.57,43.33,4,9.85,43.63
2,9.58,52.98,1,9.36,52.90,3,9.66,52.99,4,9.54,53.17
1,9.13,1:02.11,2,9.40,1:02.30,3,9.38,1:02.37,4,9.30,1:02.47
1,9.13,1:11.24,2,9.35,1:11.65,3,9.49,1:11.86,4,9.53,1:12.00
1,9.41,1:20.65,2,9.57,1:21.22,3,9.47,1:21.33,4,9.84,1:21.84
1,9.91,1:30.557,2,9.65,1:30.866,3,9.62,1:30.944,4,9.97,1:31.806
