DANDJINOU William POSITION,DANDJINOU William LAP TIME,DANDJINOU William ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME
2,13.46,13.46,3,13.62,13.62,1,13.30,13.30,4,13.74,13.74,5,13.85,13.85
2,10.15,23.61,3,10.10,23.72,1,10.20,23.50,4,10.08,23.82,5,10.07,23.92
3,9.96,33.57,2,9.79,33.51,1,9.90,33.40,4,9.89,33.71,5,9.94,33.86
1,9.21,42.78,3,9.49,43.00,2,9.45,42.85,4,9.39,43.10,5,9.36,43.22
2,9.55,52.33,1,9.21,52.21,4,9.63,52.48,3,9.30,52.40,5,9.46,52.68
3,9.14,1:01.47,2,9.16,1:01.37,4,9.13,1:01.61,1,8.88,1:01.28,5,9.22,1:01.90
3,9.05,1:10.52,2,9.05,1:10.42,4,9.06,1:10.67,1,9.09,1:10.37,5,9.50,1:11.40
2,8.90,1:19.42,1,8.88,1:19.30,4,9.01,1:19.68,3,9.28,1:19.65,5,10.25,1:21.65
2,9.00,1:28.42,1,8.89,1:28.19,3,9.26,1:28.94,4,10.04,1:29.69,5,10.77,1:32.42
