HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME
1,6.75,6.75,2,6.84,6.84,3,7.04,7.04,4,7.17,7.17,5,7.38,7.38
1,8.78,15.53,2,8.78,15.62,3,8.68,15.72,4,8.63,15.80,5,8.68,16.06
1,8.33,23.86,4,8.45,24.07,2,8.26,23.98,3,8.19,23.99,5,8.36,24.42
1,8.40,32.26,4,8.76,32.83,3,8.60,32.58,2,8.51,32.50,5,8.53,32.95
0,,PHOTO,4,8.88,41.687,3,8.33,40.899,0,,PHOTO,5,8.91,41.848
