CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME
1,12.51,12.51,2,12.60,12.60,3,12.73,,4,12.81,12.81
1,9.47,21.98,2,9.50,22.10,4,9.50,,3,9.39,22.20
2,9.11,31.09,1,8.91,31.01,3,8.96,,4,9.02,31.22
1,8.84,39.93,2,9.03,40.04,3,8.97,,4,9.16,40.38
1,8.87,48.80,2,8.80,48.84,3,8.81,,4,8.79,49.17
1,8.78,57.58,2,8.80,57.64,3,8.78,,4,8.83,58.00
3,9.36,1:06.94,1,8.72,1:06.36,2,8.76,,4,9.16,1:07.16
3,9.13,1:16.07,1,8.90,1:15.26,2,9.21,,4,9.38,1:16.54
3,9.22,1:25.29,1,9.19,1:24.45,2,9.25,,4,9.68,1:26.22
