Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME
0,,,2,13.42,13.42,1,13.33,13.33,3,13.76,13.76
1,0.00,23.43,4,10.46,23.88,2,10.31,23.65,3,9.94,23.70
1,10.18,33.61,3,10.05,33.93,2,10.10,33.76,4,10.37,34.08
2,10.16,43.77,1,9.76,43.70,3,10.13,43.89,4,10.08,44.16
4,10.35,54.12,1,9.86,53.56,2,9.84,53.73,3,9.73,53.90
4,10.81,1:04.94,1,9.90,1:03.46,2,9.77,1:03.51,3,9.70,1:03.61
4,10.88,1:15.83,1,9.73,1:13.19,2,9.82,1:13.33,3,9.93,1:13.55
4,12.30,1:28.14,1,10.00,1:23.20,2,10.01,1:23.34,3,12.06,1:25.61
3,12.96,1:41.091,1,10.25,1:33.448,0,,DQ,2,11.82,1:37.422
