Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
3,13.65,13.65,4,13.79,13.79,1,13.48,13.48,2,13.62,13.62
4,10.31,23.97,2,10.08,23.88,1,10.32,23.81,3,10.26,23.88
4,10.26,34.23,3,10.33,34.22,1,10.30,34.11,2,10.31,34.19
3,10.30,44.54,1,10.13,44.35,4,10.51,44.63,2,10.18,44.38
3,9.71,54.25,1,9.53,53.89,4,10.15,54.78,2,9.85,54.23
2,9.52,1:03.78,1,9.56,1:03.45,4,10.08,1:04.86,3,9.62,1:03.86
2,9.53,1:13.31,1,9.58,1:13.03,4,10.29,1:15.15,3,10.06,1:13.93
2,10.09,1:23.41,1,10.10,1:23.13,4,10.43,1:25.59,3,10.77,1:24.70
2,10.47,1:33.872,1,10.46,1:33.587,4,10.86,1:36.448,3,11.09,1:35.783
