TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Melle van 'T WOUT POSITION,Melle van 'T WOUT LAP TIME,Melle van 'T WOUT ELAPSED TIME,Aaron HEO POSITION,Aaron HEO LAP TIME,Aaron HEO ELAPSED TIME
4,7.14,7.14,1,6.72,6.72,2,6.85,6.85,3,7.10,7.10,5,7.35,7.35
5,9.23,16.37,1,8.76,15.48,2,8.79,15.64,3,8.75,15.85,4,9.00,16.35
5,8.90,25.27,1,8.27,23.75,3,8.41,24.05,2,8.19,24.04,4,8.47,24.82
5,9.01,34.28,1,8.31,32.06,3,8.43,32.48,2,8.31,32.35,4,8.67,33.49
5,9.15,43.43,1,8.53,40.59,3,8.56,41.04,2,8.55,40.90,4,9.00,42.49
