Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Mai SHINKAI POSITION,Mai SHINKAI LAP TIME,Mai SHINKAI ELAPSED TIME,Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME
2,11.080,11.080,3,11.130,11.130,5,11.940,11.940,4,11.280,11.280,1,11.010,11.010
3,14.570,25.660,2,14.480,25.610,5,14.420,26.360,4,14.670,25.960,1,14.480,25.490
3,13.750,39.420,2,13.770,39.380,5,13.840,40.200,4,13.580,39.540,1,13.740,39.230
3,12.860,52.280,1,12.740,52.130,4,12.080,52.290,5,12.860,52.400,2,13.030,52.270
2,11.670,1:03.960,1,11.810,1:03.940,5,12.190,1:04.490,4,11.750,1:04.160,3,11.700,1:03.970
2,11.050,1:15.010,1,11.050,1:15.000,5,11.040,1:15.540,3,10.870,1:15.030,4,11.220,1:15.200
2,10.390,1:25.410,3,10.460,1:25.470,1,9.620,1:25.160,4,10.690,1:25.730,5,10.620,1:25.830
1,11.030,1:36.440,2,11.160,1:36.640,5,11.840,1:37.000,3,10.960,1:36.690,4,10.890,1:36.720
1,10.830,1:47.270,3,11.120,1:47.760,5,10.860,1:47.870,2,10.920,1:47.620,4,11.050,1:47.780
1,10.450,1:57.730,2,9.970,1:57.730,5,10.230,1:58.100,3,10.310,1:57.930,4,10.250,1:58.030
2,10.180,2:07.910,1,10.120,2:07.860,3,9.860,2:07.970,4,10.040,2:07.970,5,10.460,2:08.490
3,10.180,2:18.100,1,10.130,2:17.990,2,10.040,2:18.010,4,10.210,2:18.190,5,10.370,2:18.860
2,10.200,2:28.310,1,10.270,2:28.260,4,10.600,2:28.620,3,10.190,2:28.390,5,10.610,2:29.480
4,11.510,2:39.830,2,10.410,2:38.680,1,10.020,2:38.640,3,10.460,2:38.850,5,10.930,2:40.410
