Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
1,9.76,9.76,3,10.10,10.10,2,9.88,9.88,4,10.23,10.23
1,15.12,24.88,3,15.11,25.21,2,15.13,25.01,4,15.13,25.36
1,14.82,39.70,2,14.50,39.71,3,14.84,39.85,4,14.64,40.00
2,12.70,52.40,1,12.65,52.36,3,12.60,52.45,4,12.63,52.63
2,11.21,1:03.61,1,11.17,1:03.53,3,11.29,1:03.74,4,11.19,1:03.82
2,11.28,1:14.89,1,11.30,1:14.83,3,11.30,1:15.04,4,11.32,1:15.14
1,10.52,1:25.41,2,10.72,1:25.55,3,10.55,1:25.59,4,10.53,1:25.67
1,10.32,1:35.73,3,10.42,1:35.97,2,10.26,1:35.85,4,10.41,1:36.08
2,10.69,1:46.42,4,10.69,1:46.66,3,10.67,1:46.52,1,10.27,1:46.35
2,10.52,1:56.94,4,10.48,1:57.14,3,10.52,1:57.04,1,10.50,1:56.85
2,10.46,2:07.40,4,10.47,2:07.61,3,10.46,2:07.50,1,10.42,2:07.27
2,10.22,2:17.62,4,10.19,2:17.80,3,10.20,2:17.70,1,10.26,2:17.53
2,10.25,2:27.87,4,10.21,2:28.01,3,10.18,2:27.88,1,10.27,2:27.80
3,10.84,2:38.706,4,10.75,2:38.760,2,10.71,2:38.585,1,10.68,2:38.471
