FILIPOVA Lucia POSITION,FILIPOVA Lucia LAP TIME,FILIPOVA Lucia ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Tetyana ZARVANSKA POSITION,Tetyana ZARVANSKA LAP TIME,Tetyana ZARVANSKA ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
3,10.88,10.88,4,11.16,11.16,5,11.25,11.25,2,10.75,10.75,1,10.38,10.38
3,14.70,25.58,4,14.54,25.70,5,14.60,25.85,2,14.71,25.46,1,14.95,25.33
3,16.22,41.80,2,16.02,41.72,5,16.22,42.07,1,16.21,41.67,4,16.59,41.92
3,13.53,55.33,1,13.37,55.09,5,13.51,55.58,2,13.55,55.22,4,13.54,55.46
3,13.03,1:08.36,1,13.05,1:08.14,5,13.02,1:08.60,2,13.04,1:08.26,4,13.01,1:08.47
3,12.54,1:20.90,1,12.53,1:20.67,5,12.58,1:21.18,2,12.53,1:20.79,4,12.60,1:21.07
3,11.56,1:32.46,1,11.58,1:32.25,5,11.53,1:32.71,2,11.57,1:32.36,4,11.53,1:32.60
3,10.90,1:43.36,1,10.92,1:43.17,5,10.87,1:43.58,2,10.91,1:43.27,4,10.88,1:43.48
3,10.41,1:53.77,1,10.39,1:53.56,5,10.36,1:53.94,2,10.39,1:53.66,4,10.40,1:53.88
4,9.72,2:03.49,2,9.77,2:03.33,5,9.87,2:03.81,3,9.75,2:03.41,1,9.44,2:03.32
4,9.35,2:12.84,3,9.49,2:12.82,5,9.71,2:13.52,2,9.20,2:12.61,1,9.10,2:12.42
3,9.27,2:22.11,4,9.49,2:22.31,5,10.04,2:23.56,2,9.09,2:21.70,1,9.20,2:21.62
3,9.25,2:31.36,4,9.62,2:31.93,5,10.43,2:33.99,2,9.27,2:30.97,1,9.26,2:30.88
3,9.58,2:40.94,4,10.51,2:42.44,5,10.67,2:44.66,2,9.51,2:40.48,1,9.51,2:40.39
